,date_time,open,high,low,close,cum_vol,cum_dollar,cum_ticks
0,01/04/2010 11:44:37.677000000,9.8,9.9,9.29,9.87,7108399,70000764.0199999,16313
1,01/04/2010 15:25:41.246000000,9.87,9.9,9.71,9.75,7135799,70024069.32000001,17450
2,01/05/2010 09:49:30.721000000,9.75,9.88,9.65,9.75,7206642,70042015.74,14163
3,01/05/2010 11:30:56.816000000,9.75,9.9,9.75,9.79,7115814,70003849.87999998,16459
4,01/05/2010 14:45:47.958000000,9.79,9.83,9.69,9.71,7172109,70006253.45,19526
5,01/06/2010 09:50:55.185000000,9.71,9.8,9.65,9.69,7200340,70000785.45,18581
6,01/06/2010 12:51:58.734000000,9.69,9.76,9.59,9.66,7222236,70000285.91,18035
7,01/06/2010 15:53:12.915000000,9.66,9.67,9.55,9.6,7293736,70046911.78999999,21249
8,01/07/2010 09:47:17.557000000,9.6,9.75,9.21,9.27,7435963,70000515.62000002,12539
9,01/07/2010 10:51:30.019000000,9.27,9.38,9.18,9.36,7540563,70006138.14,13803
10,01/07/2010 13:32:24.311000000,9.36,9.47,9.3,9.47,7467163,70000625.68000002,18479
11,01/08/2010 09:34:47.062000000,9.47,9.6,9.33,9.43,7402589,70183338.39999996,19784
12,01/08/2010 13:01:54.829000000,9.43,9.47,9.29,9.35,7477124,70013259.52999993,17748
13,01/11/2010 09:48:12.224000000,9.35,9.52,9.34,9.39,7458829,70071627.75000007,15643
14,01/11/2010 10:56:25.381000000,9.39,9.39,9.12,9.17,7583189,70026657.49000005,17184
15,01/11/2010 13:39:58.126000000,9.17,9.21,9.08,9.1,7661286,70001519.85000002,16917
16,01/12/2010 09:30:20.667000000,9.1,9.52,8.8,8.8,7701007,70009412.69000001,15051
17,01/12/2010 10:06:29.386000000,8.8,8.89,8.68,8.78,7996798,70006935.03000002,15417
18,01/12/2010 11:53:24.679000000,8.78,8.78,8.63,8.63,8022153,70033183.17000003,15100
19,01/12/2010 14:01:09.099000000,8.63,8.66,8.52,8.62,8145284,70041610.66000004,18062
20,01/13/2010 09:30:01.356000000,8.62,9.14,8.6,8.7,8124481,70119758.96999995,18056
21,01/13/2010 10:54:44.830000000,8.7,8.78,8.55,8.74,8065798,70000349.05,16684
22,01/13/2010 12:08:52.790000000,8.74,9.02,8.69,9.01,7851477,70003417.17000008,17551
23,01/13/2010 14:23:02.851000000,9.01,9.17,9.0,9.09,7707698,70014597.39999995,18505
24,01/13/2010 16:00:36.081000000,9.09,9.2,8.91,9.15,7790298,71208742.80000001,16165
25,01/14/2010 10:43:46.706000000,9.15,9.36,8.95,9.11,7646120,70006701.35999998,12540
26,01/14/2010 13:46:55.024000000,9.11,9.13,8.92,8.94,7771321,70000815.6,16724
27,01/14/2010 16:16:38.348000000,8.94,9.2,8.93,9.07,7755811,70000143.74000007,17710
28,01/15/2010 09:50:51.248000000,9.07,9.32,8.8,8.89,7766733,70015929.9600001,13704
29,01/15/2010 10:35:28.327000000,8.89,9.09,8.82,9.05,7853463,70002306.26999998,18248
30,01/15/2010 12:43:07.806000000,9.05,9.06,8.85,8.86,7809729,70000098.57999992,20138
31,01/15/2010 15:31:17.990000000,8.86,8.98,8.83,8.91,7878736,70000505.65000008,18497
32,01/19/2010 09:57:25.760000000,8.91,9.07,8.76,9.06,7846227,70038796.77000001,14678
33,01/19/2010 11:05:04.133000000,9.06,9.21,9.05,9.08,7656254,70007861.38000003,15519
34,01/19/2010 14:58:59.093000000,9.08,9.1,8.84,9.04,7737601,70000162.61999997,17369
35,01/20/2010 09:46:50.846000000,9.04,9.13,8.9,8.92,7771539,70058422.34999996,15602
36,01/20/2010 11:07:25.531000000,8.92,8.96,8.76,8.77,7881981,70003148.05999994,17777
37,01/20/2010 15:08:51.352000000,8.77,9.01,8.76,8.8,7940922,70000121.36999997,19609
38,01/21/2010 09:45:13.953000000,8.8,9.1,8.77,8.95,7855065,70000068.26999989,15473
