,ticker,market_cap
374,ANSS,24071029500.0
325,HRL,24142872960.0
281,DFS,24438400000.0
240,SWK,24441585720.0
460,DTE,24632750000.0
473,AWK,24755370000.0
385,IDXX,24838291660.0
383,BLL,24862845099.999996
76,GLW,24893310000.0
445,CMG,24898185250.0
149,O,24970259934.4
116,MSCI,25042374720.0
401,RCL,25128621000.0
379,VRSN,25380633120.0
283,A,25684860000.0
339,MCK,25707500000.0
431,WMB,25822013970.0
442,ADM,25877000000.0
27,FTV,25908000000.0
124,CMI,25928210000.0
409,ETR,25948745161.6
425,TWTR,26095339820.0
151,EIX,26144470000.0
370,DLR,26337783315.0
14,PCAR,26430850000.0
345,CNC,26704379680.0
47,PPL,26869418380.0
207,PAYX,27345750000.0
78,VRSK,27434117365.2
456,SYY,27541437643.53214
67,FE,27631160000.0
174,AZO,27655640759.999996
246,WLTW,27917500000.0
120,STZ,28064054480.0
327,CTAS,28503714714.82
157,FLT,28928682600.0
443,STT,29000218260.0
426,SBAC,29102201820.0
89,PPG,29324802000.0
114,LYB,29457850000.0
99,CLX,29525194821.645
389,RMD,29780008939.564
497,TSN,29795040000.0
388,TDG,29930729400.000004
467,EBAY,30011360000.000004
381,LUV,30092370000.0
22,ES,30101390264.399998
474,PEG,30420000000.0
486,AVB,30427993615.5
41,HPQ,30601919999.999996
81,INFO,30604068000.000004
12,RSG,30825060000.0
268,ED,31216830000.0
191,ZBH,31248906000.0
92,KLAC,31269188551.969997
187,IQV,31337200000.0
287,OKE,31353558680.0
183,APH,31365773000.0
412,MSI,31620292000.0
351,HLT,31630299999.999996
369,WEC,31863187000.0
164,TEL,31993999999.999996
453,EQR,32440382010.0
126,TROW,32585602000.0
421,ORLY,32661625440.0
112,OXY,32857605000.000004
71,NEM,33142890000.0
18,HSY,33320414279.999996
233,YUM,33365800000.0
222,EA,33706700000.0
206,WELL,34485203200.0
407,CTSH,34983200000.0
131,TRV,35200660000.0
66,CCL,35305840000.0
493,F,35395360000.0
252,XEL,35755200000.0
359,DOW,35988975000.0
129,MPC,36088400000.0
416,VLO,36510660000.0
492,MNST,36628202080.0
75,FDX,36737640262.0
441,KHC,37148400000.0
297,DAL,37286300000.0
418,JCI,37778503000.0
353,GIS,37809946226.6
1,PRU,38258899000.0
396,REGN,38526228000.0
444,DG,38785365900.0
466,PSA,39112173000.0
90,DD,39344936000.0
413,AFL,39590647200.0
128,GPN,39834765360.0
363,ALL,39979980000.0
156,ROST,40445160360.0
198,ETN,40914384000.0
376,ROP,40923838000.0
251,ADI,41485627460.0
87,TFC,41970071520.0
154,SPG,42019791585.649666
356,ADSK,42470800000.0
215,BK,42817148600.0
355,PSX,43759342080.0
449,EOG,44034512139.99999
315,EMR,44081218000.0
280,SRE,45443977290.0
360,AIG,45631963035.0
309,HUM,46243695480.0
399,EXC,46810440000.0
209,ILMN,46827719999.99999
169,ATVI,46946190000.0
304,BAX,47042160000.0
477,SLB,47145400000.0
225,GM,47961870000.0
471,COF,48009683000.0
343,PGR,48015344000.0
20,APD,48027368000.0
366,MAR,48080505000.0
2,MET,48428832000.0
290,KMI,48494880000.00001
4,MU,49389030000.0
483,LHX,49511521000.0
330,EW,49648929523.08726
452,HCA,49953019699.99999
344,KMB,49984128000.0
30,MCO,50545996000.0
405,LVS,51040200000.0
314,EQIX,51061437000.0
139,WBA,51078785000.0
267,AEP,51561379584.0
394,BIIB,52009121999.99999
0,LRCX,52021972656.37
200,DE,52418100000.0
263,WM,52479900000.0
375,GD,52708208280.0
437,AON,52842978000.0
204,SHW,53161907276.0
217,AMAT,54403650000.0
464,AMD,55171200000.0
23,TGT,56231336000.0
490,ICE,56596050000.0
410,NSC,56971200000.0
73,ADP,57501502567.299995
40,ITW,57924240000.0
210,ECL,58347900000.0
313,MMC,58560600000.0
326,CL,59820617000.0
239,VRTX,60035598630.0
72,BSX,61234145999.99999
295,CSX,62068440000.0
334,SCHW,62290800000.0
321,PLD,63008217629.99999
387,CCI,63172340000.0
415,FISV,63354798000.0
289,NOC,65427900000.0
305,ZTS,66501059610.0
17,FIS,66522500000.0
434,NOW,67375321260.0
261,PNC,67630080000.0
243,ISRG,68215380000.0
